
# IMU Configuration complete!
# IMU + GPS streaming started
nan,nan,nan,nan,nan,nan,nan,nan,nan,Waiting for IMU data: myICM.dataReady() == False
nan,nan,nan,nan,nan,nan,nan,nan,nan,Waiting for IMU data: myICM.dataReady() == False
nan,nan,nan,nan,nan,nan,nan,nan,nan,Waiting for IMU data: myICM.dataReady() == False
nan,nan,nan,nan,nan,nan,nan,nan,nan,Waiting for IMU data: myICM.dataReady() == False
IMU,1990,-0.158835,-0.231276,9.957911,-0.002956,0.000080,-0.001465,118.481049,1010.609131,-1009.157043
IMU,1994,-0.195122,-0.224895,10.008075,0.001705,-0.001518,0.001598,81.401833,1034.846802,-990.213013
IMU,2007,-0.125009,-0.237586,9.902930,0.001705,-0.004581,0.001065,81.401833,1034.846802,-990.213013
GPS,2007,nan,nan,nan,nan,nan,0,0
IMU,2021,-0.102899,-0.223056,9.924417,-0.002823,0.001545,0.002930,117.902771,984.752136,-989.605652
IMU,2025,-0.137021,-0.253284,9.953573,-0.001225,-0.001784,-0.001998,118.811760,1029.532227,-999.851074
IMU,2039,-0.188408,-0.252833,9.912482,-0.000826,-0.004181,0.001731,80.327675,983.508484,-970.285828
IMU,2042,-0.163975,-0.245405,9.917283,0.000107,0.005407,0.000000,70.420715,1015.957642,-1013.859497
IMU,2056,-0.085684,-0.233526,9.965508,0.000639,0.002610,0.002663,70.420715,1015.957642,-1013.859497
IMU,2060,-0.131890,-0.184023,9.940452,-0.000293,0.000479,0.001864,70.420715,1015.957642,-1013.859497
IMU,2074,-0.124584,-0.216527,9.969845,-0.003356,0.000080,-0.001199,101.420990,959.274719,-1008.343628
IMU,2077,-0.117360,-0.236218,9.970203,0.000373,0.004341,-0.000666,101.420990,959.274719,-1008.343628
IMU,2091,-0.107408,-0.191793,9.969522,0.003569,0.002477,0.001731,70.896370,1047.151489,-980.771912
IMU,2095,-0.148984,-0.211546,9.960037,0.000506,-0.000320,-0.001199,70.896370,1047.151489,-980.771912
IMU,2109,-0.166276,-0.230865,9.931445,-0.003090,-0.000320,0.000000,75.260338,990.506470,-1008.710388
IMU,2112,-0.132084,-0.273512,9.985156,-0.000559,-0.002717,0.002930,37.479237,988.323364,-941.451599
IMU,2126,-0.219454,-0.207627,10.000467,0.000639,0.000346,-0.000799,65.870613,1060.143921,-1000.114807
IMU,2130,-0.171281,-0.288040,9.958782,-0.002157,-0.001784,0.000000,65.870613,1060.143921,-1000.114807
IMU,2144,-0.048878,-0.224183,10.006368,-0.002024,-0.000320,0.000400,76.871948,1073.320312,-1009.931702
IMU,2147,-0.188382,-0.267950,9.931947,-0.006286,-0.001385,-0.002131,76.871948,1073.320312,-1009.931702
IMU,2161,-0.178827,-0.279748,9.903362,-0.003755,0.001545,-0.003063,100.759941,927.235229,-998.286072
IMU,2165,-0.197972,-0.258536,9.955768,0.004501,-0.003516,-0.001731,100.759941,927.235229,-998.286072
IMU,2179,-0.131975,-0.231314,9.967650,-0.000027,0.002610,0.000666,107.149368,984.316284,-979.976624
IMU,2182,-0.122264,-0.206088,9.936056,0.000639,0.001278,-0.000266,107.149368,984.316284,-979.976624
IMU,2196,-0.078122,-0.194286,9.979313,-0.002690,-0.000186,0.000666,37.560898,977.085876,-1017.966064
IMU,2200,-0.073542,-0.233309,9.955955,-0.001625,-0.003782,-0.005327,37.560898,977.085876,-1017.966064
IMU,2214,-0.126910,-0.184364,9.962100,0.002237,-0.001784,0.003462,97.428932,1035.030762,-980.687012
IMU,2217,-0.092888,-0.183844,9.940638,-0.000959,-0.000719,0.002264,97.428932,1035.030762,-980.687012
IMU,2231,-0.205387,-0.270736,9.946323,-0.001225,0.003276,-0.002397,6.726168,1046.133667,-1004.494202
IMU,2235,-0.210271,-0.288260,9.960999,-0.002557,-0.000719,-0.000533,6.726168,1046.133667,-1004.494202
IMU,2249,-0.168731,-0.265879,9.960834,-0.001358,-0.001784,-0.002530,134.693924,1017.445251,-1014.106689
IMU,2252,-0.183310,-0.268614,9.972818,-0.002157,-0.002184,-0.000266,74.599289,958.466980,-998.652832
IMU,2266,-0.190570,-0.233766,9.950593,-0.004688,-0.001518,0.002264,122.391083,940.283936,-988.968567
IMU,2270,-0.117454,-0.233389,9.948538,-0.000692,0.000080,0.002264,122.391083,940.283936,-988.968567
IMU,2284,-0.158794,-0.196353,9.933317,0.003569,-0.002051,0.006259,96.912079,1003.648926,-1004.186768
IMU,2287,-0.080815,-0.190902,9.923997,0.001571,-0.003382,0.004128,96.912079,1003.648926,-1004.186768
